Symbol,Description
XLI,Industrial Select Sector SPDR Fund
XLU,Utilities Select Sector SPDR Fund
XLP,Consumer Staples Select Sector SPDR Fund
XLC,Communication Services Select Sector SPDR Fund
XLE,Energy Select Sector SPDR Fund
XLK,Technology Select Sector SPDR Fund
XLV,Health Care Select Sector SPDR Fund
XLF,Financial Select Sector SPDR Fund
XLY,Consumer Discretionary Select Sector SPDR Fund
XLB,Materials Select Sector SPDR ETF
XBI,SPDR S&P Biotech ETF
XOP,SPDR S&P Oil & Gas Exploration & Production ETF
XRT,SPDR S&P Retail ETF
XLRE,Real Estate Select Sector SPDR Fund
ICLN,iShares Global Clean Energy ETF
